time,raw_value,voltage_calc,voltage_default
0.481,32822.67645760138,0.0083,32788.7199
0.482,32823.69545348157,0.0085,32789.7583
0.483,32824.71444936175,0.0087,32790.7966
0.484,32823.69545348157,0.0085,32789.7583
0.485,32822.67645760138,0.0083,32788.7199
0.486,32823.69545348157,0.0085,32789.7583
0.487,32823.69545348157,0.0085,32789.7583
0.488,32821.657461721195,0.0082,32787.6816
0.489,32823.69545348157,0.0085,32789.7583
0.490,32822.67645760138,0.0083,32788.7199
0.491,32823.69545348157,0.0085,32789.7583
0.492,32823.69545348157,0.0085,32789.7583
0.493,32823.69545348157,0.0085,32789.7583
0.494,32822.67645760138,0.0083,32788.7199
0.495,32819.619469960824,0.0079,32785.6048
0.496,32823.69545348157,0.0085,32789.7583
0.497,32824.71444936175,0.0087,32790.7966
0.498,32822.67645760138,0.0083,32788.7199
0.499,32824.71444936175,0.0087,32790.7966
0.500,32821.657461721195,0.0082,32787.6816
0.501,32820.63846584101,0.0080,32786.6432
0.502,32822.67645760138,0.0083,32788.7199
0.503,32822.67645760138,0.0083,32788.7199
0.504,32824.71444936175,0.0087,32790.7966
0.505,32824.71444936175,0.0087,32790.7966
0.506,32823.69545348157,0.0085,32789.7583
0.507,32820.63846584101,0.0080,32786.6432
0.508,32820.63846584101,0.0080,32786.6432
0.509,32822.67645760138,0.0083,32788.7199
0.510,32823.69545348157,0.0085,32789.7583
0.511,32822.67645760138,0.0083,32788.7199
0.512,32823.69545348157,0.0085,32789.7583
0.513,32822.67645760138,0.0083,32788.7199
0.514,32822.67645760138,0.0083,32788.7199
0.515,32820.63846584101,0.0080,32786.6432
0.516,32822.67645760138,0.0083,32788.7199
0.517,32822.67645760138,0.0083,32788.7199
0.518,32824.71444936175,0.0087,32790.7966
0.519,32822.67645760138,0.0083,32788.7199
0.520,32823.69545348157,0.0085,32789.7583
0.521,32821.657461721195,0.0082,32787.6816
0.522,32823.69545348157,0.0085,32789.7583
0.523,32822.67645760138,0.0083,32788.7199
0.524,32824.71444936175,0.0087,32790.7966
0.525,32822.67645760138,0.0083,32788.7199
0.526,32822.67645760138,0.0083,32788.7199
0.527,32823.69545348157,0.0085,32789.7583
0.528,32821.657461721195,0.0082,32787.6816
0.529,32823.69545348157,0.0085,32789.7583
0.530,32821.657461721195,0.0082,32787.6816
0.531,32822.67645760138,0.0083,32788.7199
0.532,32823.69545348157,0.0085,32789.7583
0.533,32820.63846584101,0.0080,32786.6432
0.534,32824.71444936175,0.0087,32790.7966
0.535,32821.657461721195,0.0082,32787.6816
