time,CH0_raw,CH1_raw,CH2_raw,CH3_raw,CH4_raw,CH5_raw
0.241,31458.240974033633,31511.228759803253,31543.836627969176,32543.471586430685,31113.820366531094,31571.34951673417
0.242,31575.42550025491,31630.4512777849,31653.888183029158,32635.18121564734,31165.78915642053,31603.95738490009
0.243,31423.595114107342,31566.254537333247,31646.75521186786,32658.618120891595,31279.91669500125,31751.71178752692
0.244,31544.85562384936,31629.432281904716,31695.667014116745,32700.39695197918,31323.73351784921,31792.47162273432
0.245,31491.86783807974,31610.071360181202,31685.477055314892,32703.453939619736,31395.06322946216,31884.181251950973
0.246,31619.242323102866,31683.439063554524,31724.198898761922,32735.04281190547,31399.1392129829,31880.105268430234
0.247,31946.34000064226,31935.131045960225,31917.80811599708,32887.89219393322,31409.32917178475,31828.136478540797
0.248,31845.459408503943,31957.548955324295,32002.384774052436,32989.791781951724,31529.570685646584,31960.60594296485
0.249,31935.131045960225,31993.213811130772,32017.66971225521,33002.019732513945,31523.456710365474,31955.510963563924
0.25,31750.692791646736,31885.20024783116,31953.472971803556,32966.35487670747,31582.558471416207,32047.220592780577
0.251,31686.496051195078,31793.490618614505,31858.70635494635,32884.835206292664,31568.292529093615,32062.50553098335
0.252,31655.92617478953,31740.502832844886,31786.35764745321,32800.25854823731,31530.58968152677,32032.95465045799
0.253,31865.83932610764,31851.573383785053,31824.060495020058,32804.33453175805,31410.348167664935,31860.744346706717
0.254,31844.440412623757,31872.972297268938,31836.28844558228,32803.31553587787,31345.132431333095,31768.01572160988
0.255,31763.93973808914,31822.022503259686,31800.6235897758,32767.65068007139,31293.163641443658,31722.160907001555
0.256,31454.16499051289,31607.014372540645,31652.869187148972,32660.65611265196,31307.42958376625,31787.376643333395
0.257,31507.152776282514,31544.85562384936,31535.684660927694,32528.186648227907,31155.59919761868,31621.280314863237
0.258,31407.291180024382,31468.430932835483,31461.297961674187,32458.894928375325,31077.136514844435,31542.81763208899
0.259,31373.664315978276,31453.14599463271,31463.335953434558,32454.81894485459,31073.060531323692,31537.722652688066
0.26,31429.709089388452,31492.886833959925,31502.05779688159,32487.42681302051,31077.136514844435,31531.608677406955
0.261,31535.684660927694,31581.53947553602,31584.596463176575,32562.8325081542,31094.459444807577,31521.418718605106
0.262,31438.880052310116,31561.15955793232,31624.33730250379,32621.934269204932,31195.340036945898,31641.660232466937
0.263,31475.56390399678,31579.50148377565,31640.64123658675,32653.523141490667,31270.745732079587,31737.44584520433
0.264,31447.032019351598,31574.406504374725,31656.94517066971,32671.865067333994,31343.094439572724,31830.17447030117
