time,CH0_hat1,CH1_hat1,CH2_hat1,CH0_hat2,CH1_hat2,CH2_hat2
0.5330,31762,31646,31679,33842,33728,33804
0.5340,31769,31646,31672,33878,33756,33820
0.5350,31754,31637,31663,33903,33781,33835
0.5360,31752,31632,31651,33892,33765,33812
0.5370,31735,31614,31627,33862,33724,33747
0.5380,31724,31604,31617,33810,33682,33700
0.5390,31702,31587,31599,33754,33624,33630
0.5400,31687,31570,31580,33666,33535,33527
0.5410,31673,31556,31562,33582,33454,33455
0.5420,31665,31549,31563,33513,33391,33399
0.5430,31652,31539,31553,33463,33336,33337
0.5440,31649,31534,31556,33425,33304,33310
0.5450,31654,31537,31571,33395,33284,33307
0.5460,31682,31562,31593,33397,33290,33327
0.5470,31675,31559,31593,33447,33341,33394
0.5480,31693,31573,31618,33484,33381,33450
0.5490,31717,31594,31636,33552,33446,33519
0.5500,31731,31603,31645,33621,33521,33607
0.5510,31745,31620,31669,33714,33605,33688
0.5520,31753,31632,31667,33778,33665,33744
0.5530,31761,31640,31676,33839,33727,33810
0.5540,31763,31647,31684,33879,33759,33826
0.5550,31757,31635,31654,33859,33741,33797
0.5560,31751,31628,31653,33908,33773,33806
0.5570,31740,31619,31630,33862,33728,33755
0.5580,31715,31600,31607,33807,33677,33696
0.5590,31698,31587,31600,33748,33619,33626
0.5600,31683,31568,31575,33665,33533,33532
0.5610,31669,31555,31564,33585,33458,33456
0.5620,31663,31546,31562,33517,33394,33401
0.5630,31655,31537,31556,33464,33340,33345
0.5640,31654,31536,31556,33421,33305,33318
0.5650,31658,31541,31570,33400,33288,33306
0.5660,31668,31548,31587,33403,33292,33330
0.5670,31680,31562,31595,33442,33338,33391
0.5680,31696,31579,31620,33490,33386,33452
0.5690,31718,31597,31634,33553,33448,33520
0.5700,31728,31605,31647,33636,33534,33614
0.5710,31747,31625,31671,33704,33600,33690
0.5720,31768,31644,31678,33790,33673,33746
0.5730,31788,31666,31700,33843,33731,33806
0.5740,31758,31641,31673,33886,33766,33831
0.5750,31763,31639,31668,33899,33779,33834
0.5760,31752,31632,31651,33894,33767,33818
0.5770,31733,31617,31625,33860,33729,33754
0.5780,31715,31599,31612,33810,33681,33694
0.5790,31700,31585,31599,33741,33610,33629
0.5800,31691,31574,31579,33672,33534,33529
0.5810,31679,31562,31570,33580,33455,33455
0.5820,31658,31549,31566,33515,33394,33398
0.5830,31652,31539,31555,33460,33338,33338
0.5840,31651,31535,31556,33416,33301,33320
0.5850,31656,31542,31576,33389,33277,33303
0.5860,31666,31548,31578,33398,33291,33326
0.5870,31678,31561,31601,33440,33338,33398
0.5880,31698,31579,31619,33489,33385,33449
0.5890,31719,31598,31650,33550,33447,33517
0.5900,31735,31611,31656,33641,33538,33619
0.5910,31747,31622,31662,33710,33602,33695
0.5920,31759,31638,31681,33783,33669,33744
0.5930,31763,31644,31676,33833,33722,33798
0.5940,31764,31645,31679,33879,33755,33826
0.5950,31766,31642,31663,33900,33777,33838
