time,CH0_hat1,CH1_hat1,CH2_hat1,CH3_hat1,CH4_hat1,CH5_hat1,CH0_hat2,CH1_hat2,CH2_hat2,CH3_hat2,CH4_hat2,CH5_hat2
0.2930,32532,32542,32520,33479,31998,32429,33479,33533,33539,34580,33376,33875
0.2940,32395,32473,32478,33453,31996,32435,33253,33338,33302,34345,33193,33707
0.2950,32361,32422,32412,33382,31930,32380,33165,33208,33132,34154,32960,33458
0.2960,32227,32317,32325,33310,31902,32370,32871,32980,32929,33972,32806,33316
0.2970,32100,32210,32230,33221,31896,32390,32678,32777,32722,33764,32617,33135
0.2980,32198,32225,32195,33170,31790,32266,32436,32441,32227,33263,32121,32619
0.2990,32099,32137,32054,33024,31662,32132,31947,31982,31700,32733,31616,32114
0.3000,31969,32019,31927,32890,31532,32009,31688,31777,31598,32604,31415,31905
0.3010,31748,31877,31867,32851,31557,32061,31595,31734,31703,32714,31475,31956
0.3020,31871,31922,31911,32878,31532,32018,31643,31770,31805,32828,31545,32014
0.3030,31803,31898,31914,32894,31565,32047,31827,31929,31993,33010,31667,32117
0.3040,31930,31978,31989,32961,31572,32032,31984,32108,32225,33243,31859,32289
0.3050,31887,31990,32041,33024,31661,32129,31905,32126,32334,33396,32125,32630
0.3060,32049,32094,32115,33088,31671,32120,32293,32375,32526,33570,32260,32733
0.3070,32014,32109,32151,33132,31727,32183,32364,32518,32696,33746,32480,32968
0.3080,32106,32176,32227,33207,31783,32233,32731,32902,33200,34233,32920,33407
0.3090,32072,32211,32334,33333,31950,32417,33333,33454,33795,34812,33394,33840
0.3100,32373,32413,32501,33480,32011,32446,33511,33637,33901,34952,33607,34071
0.3110,32331,32429,32508,33500,32086,32539,33649,33709,33831,34885,33573,34038
0.3120,32454,32491,32515,33486,32053,32499,33621,33699,33764,34802,33515,33994
0.3130,32456,32507,32516,33486,32028,32471,33361,33491,33538,34594,33406,33929
0.3140,32420,32482,32476,33437,31990,32438,33179,33278,33276,34340,33216,33758
0.3150,32506,32513,32469,33415,31899,32321,33015,33099,33056,34102,33010,33557
0.3160,32335,32421,32406,33368,31884,32321,32941,32985,32907,33932,32790,33306
0.3170,32162,32280,32300,33288,31886,32354,32695,32783,32713,33742,32611,33125
0.3180,32261,32292,32258,33231,31787,32243,32480,32474,32247,33269,32111,32600
0.3190,32140,32181,32101,33060,31643,32106,32010,32035,31735,32753,31609,32096
0.3200,32174,32166,32037,32970,31471,31899,31796,31859,31666,32662,31384,31841
0.3210,31880,32005,31985,32956,31510,31963,31703,31830,31781,32781,31434,31878
0.3220,31988,32042,32024,32977,31486,31927,31659,31816,31861,32881,31544,32000
0.3230,31866,31983,32010,32982,31542,32002,31734,31884,31986,33017,31692,32153
0.3240,32072,32103,32095,33050,31532,31959,31837,32005,32164,33210,31914,32395
0.3250,32103,32166,32186,33138,31585,31998,32099,32214,32365,33408,32095,32560
0.3260,32050,32159,32212,33183,31674,32103,32237,32371,32528,33574,32269,32746
0.3270,32152,32219,32253,33228,31699,32125,32479,32590,32743,33781,32463,32926
