time,CH0_hat1,CH1_hat1,CH2_hat1,CH0_hat2,CH1_hat2,CH2_hat2
0.205,32207.202945969628,32069.638502144648,32093.075407388904,34559.29647963592,34396.12799156364,34397.147794614095
0.206,32169.50009840278,32034.992642218356,32040.08762161928,34377.77153665551,34217.66245773459,34165.652502161545
0.207,32123.645283794453,31990.156823490215,31988.118831729847,34165.652502161545,34016.76125679559,33955.573073768486
0.208,32070.657498024833,31941.245021241335,31935.131045960225,33972.90972562617,33837.27591991608,33768.94911553581
0.209,32048.239588660763,31914.751128356525,31900.485186033933,33797.50360094846,33658.810386087025,33579.26574815179
0.21,31989.13782761003,31857.687359066163,31833.23145794172,33428.33489668492,33250.88916590632,33038.770131412355
0.211,31887.238239591527,31734.388857563776,31651.850191268786,32920.47297755995,32758.32429253812,32479.918059764794
0.212,31766.996725729696,31635.546257185826,31554.026586771026,32571.700334305453,32475.838847562984,32298.393116784384
0.213,31686.496051195078,31582.558471416207,31549.950603250283,32437.08633164582,32388.135785224134,32361.620905912387
0.214,31648.793203628233,31547.912611489915,31554.026586771026,32488.076484168407,32408.53184623317,32437.08633164582
0.215,31667.135129471564,31556.064578531394,31573.38750849454,32598.215213617194,32516.630969581056,32597.195410566746
0.216,31691.591030596002,31588.672446697317,31622.299310743423,32762.40350473993,32676.740048501983,32798.09661150574
0.217,31730.312874043033,31623.318306623605,31672.23010887249,32963.30470567892,32861.32440063375,32997.97800939428
0.218,31781.262668052284,31666.11613359138,31721.14191112137,33152.98807306295,33045.90875276552,33187.66137677831
0.219,31824.060495020058,31708.913960559148,31766.996725729696,33334.51301604336,33235.592120149544,33388.562577717305
0.22,31873.991293149124,31762.920742208957,31830.17447030117,33723.05797826548,33648.6123555825,33922.93937615403
0.221,31992.194815250587,31896.409202513194,32022.764691656135,34203.38521502826,34124.86038014347,34479.75184170069
0.222,32101.227374430382,31993.213811130772,32115.493316752974,34558.27667658547,34409.38543121951,34657.197572479294
0.223,32180.709053084815,32044.163605140024,32118.55030439353,34669.43520908471,34483.83105390249,34599.06879860354
0.224,32203.126962448885,32067.600510384276,32107.341349711493,34657.197572479294,34491.98947830611,34543.999433879144
0.225,32188.861020126293,32054.353563941873,32080.847456826683,34545.0192369296,34382.87055190777,34380.83094580686
0.226,32159.31013960093,32027.85967105706,32031.935654577803,34371.6527183528,34210.52383638142,34158.51388080838
0.227,32117.531308513346,31986.080839969476,31984.042848209105,34172.791123514704,34025.939484249655,33954.55327071803
0.228,32067.600510384276,31938.188033600778,31932.074058319668,33967.8107103739,33831.15710161337,33766.90950943491
0.229,32026.840675176878,31896.409202513194,31886.219243711344,33788.325373494394,33650.651961683405,33564.988505445464
0.23,31983.02385232892,31851.573383785053,31832.212462061536,33420.17647228131,33243.75054455316,33033.6711161601
0.231,31877.048280789677,31726.236890522294,31648.793203628233,32901.096719601366,32746.086655932704,32465.64081705847
0.232,31750.692791646736,31621.280314863237,31544.85562384936,32553.34387939732,32465.64081705847,32290.234692380764
0.233,31679.36308003378,31572.368512614354,31540.77964032862,32463.601210957568,32405.472437081815,32370.799133366454
0.234,31668.154125351746,31562.178553812504,31564.216545572875,32502.35372687473,32426.888301141305,32454.4229835035
0.235,31679.36308003378,31568.292529093615,31589.6914425775,32600.254819718102,32520.710181782866,32599.235016667648
0.236,31699.742997637484,31592.748430218056,31633.50826542546,32769.54212609309,32681.83906375424,32805.235232858904
0.237,31740.502832844886,31629.432281904716,31676.306092393228,32960.24529652757,32862.3442036842,32996.958206343836
0.238,31789.414635093766,31675.287096513042,31722.160907001555,33156.04748221431,33051.00776801778,33192.76039203057
0.239,31830.17447030117,31719.103919360998,31771.072709250435,33341.65163739653,33236.6119232,33393.66159296957
0.24,31871.953301388752,31762.920742208957,31830.17447030117,33707.7609325087,33639.434128128436,33921.91957310357
0.241,31979.966864688366,31890.295227232084,32009.517745213732,34222.761472986844,34135.058410647995,34483.83105390249
0.242,32109.379341471864,32000.346782292065,32125.683275554824,34571.534116241346,34420.60326477449,34658.21737552974
0.243,32181.728048965,32045.182601020206,32120.588296153895,34670.455012135164,34490.969675255656,34602.1282077549
0.244,32202.1079665687,32066.581514504094,32109.379341471864,34662.29658773155,34497.08849355837,34550.118252181855
0.245,32192.937003647035,32062.50553098335,32084.923440347422,34553.17766133321,34388.98937021048,34382.87055190777
0.246,32161.3481313613,32027.85967105706,32038.049629858913,34364.514096999636,34208.48423028052,34150.355456404766
0.247,32125.683275554824,31987.09983584966,31984.042848209105,34172.791123514704,34024.9196811992,33953.53346766758
0.248,32074.733481545572,31946.34000064226,31932.074058319668,33975.969134777515,33840.335329067435,33772.00852468717
0.249,32022.764691656135,31897.42819839338,31891.31422311227,33785.26596434304,33647.592552532056,33568.04791459681
0.25,31985.06184408929,31851.573383785053,31830.17447030117,33419.15666923086,33242.73074150271,33031.6315100592
0.251,31869.915309628384,31721.14191112137,31642.679228347122,32898.03731045001,32739.967837629993,32460.541801806212
0.252,31740.502832844886,31610.071360181202,31532.62767328714,32541.106242791895,32454.4229835035,32284.11587407806
0.253,31673.249104752675,31566.254537333247,31538.741648568248,32457.482392654856,32398.333815728656,32367.7397242151
0.254,31658.983162430082,31553.00759089084,31557.08357441158,32495.215105521573,32414.650664535882,32440.145740797176
0.255,31663.05914595082,31555.04558265121,31572.368512614354,32599.235016667648,32517.65077263151,32596.175607516292
0.256,31692.610026476188,31585.61545905676,31620.26131898305,32774.64114134535,32688.977685107406,32810.33424811116
0.257,31732.350865803404,31625.356298383977,31681.401071794153,32967.38391788073,32869.48282503736,33005.11663074745
0.258,31778.20568041173,31665.097137711193,31718.084923480816,33152.98807306295,33045.90875276552,33186.64157372786
0.259,31819.984511499315,31702.799985278038,31762.920742208957,33348.79025874969,33240.6911354018,33390.60218381821
0.26,31875.01028902931,31766.996725729696,31835.269449702093,33709.80053860961,33643.513340330246,33920.899770053125
0.261,31980.98586056855,31887.238239591527,32013.59372873447,34220.72186688594,34137.098016748896,34486.890463053845
0.262,32104.28436207094,31993.213811130772,32108.36034559168,34582.751949796315,34424.68247697629,34664.33619383245
0.263,32173.576081923522,32045.182601020206,32119.569300273717,34674.534224336974,34490.969675255656,34599.06879860354
